Code,FPL_Name,Web_Name,Understat_ID,Understat_Name,FPL_ID_2024-25,Team_2024-25,FPL_ID_2023-24,Team_2023-24
17761,James Tarkowski,Tarkowski,1665,James Tarkowski,236,Everton,265,Everton
156689,Andreas Hoelgebaum Pereira,Andreas,922,Andreas Pereira,240,Fulham,267,Fulham
76357,Tom Cairney,Cairney,6835,Tom Cairney,243,Fulham,268,Fulham
166324,Ivan Neves Abreu Cavaleiro,I.Cavaleiro,3683,Ivan Cavaleiro,,,,
96994,Bobby De Cordova-Reid,De Cordova-Reid,6827,Bobby Reid,290,Leicester,270,Fulham
219924,Issa Diop,Diop,3203,Issa Diop,245,Fulham,271,Fulham
432931,Tyrese Francois,Francois,9552,Tyrese Francois,,,,
83543,Anthony Knockaert,Knockaert,4497,Anthony Knockaert,,,,
109434,Terence Kongolo,Kongolo,6067,Terence Kongolo,,,,
80201,Bernd Leno,Leno,181,Bernd Leno,248,Fulham,275,Fulham
212314,Saša Lukić,Lukić,1537,Sasa Lukic,249,Fulham,276,Fulham
120721,Kevin Mbabu,Mbabu,983,Kevin Mbabu,250,Fulham,277,Fulham
128389,Aleksandar Mitrović,Mitrović,773,Aleksandar Mitrovic,,,,
244042,Rodrigo Muniz Carvalho,Muniz,10717,Rodrigo Muniz,251,Fulham,279,Fulham
154296,João Palhinha Gonçalves,J.Palhinha,10715,João Palhinha,,,,
82514,Tim Ream,Ream,7184,Tim Ream,253,Fulham,281,Fulham
153366,Harrison Reed,Reed,910,Harrison Reed,254,Fulham,282,Fulham
169528,Antonee Robinson,Robinson,8940,Antonee Robinson,255,Fulham,283,Fulham
155529,Marek Rodák,Rodák,8704,Marek Rodák,,,,
167074,Kenny Tete,Tete,5973,Kenny Tete,257,Fulham,285,Fulham
109646,Tosin Adarabioyo,Tosin,5590,Tosin Adarabioyo,187,Chelsea,286,Fulham
245824,Carlos Vinícius Alves Morais,Vinicius,7395,Carlos Vinicius,258,Fulham,287,Fulham
153682,Harry Wilson,Wilson,5596,Harry Wilson,259,Fulham,288,Fulham
60706,Adrián San Miguel del Castillo,Adrián,527,Adrián,,,,
169187,Trent Alexander-Arnold,Alexander-Arnold,1791,Trent Alexander-Arnold,311,Liverpool,290,Liverpool
116535,Alisson Ramses Becker,A.Becker,1257,Alisson,310,Liverpool,291,Liverpool
535928,Stefan Bajčetić Maquieira,Bajcetic,10723,Stefan Bajcetic,312,Liverpool,292,Liverpool
447203,Darwin Núñez Ribeiro,Darwin,10720,Darwin Núñez,316,Liverpool,293,Liverpool
194634,Diogo Teixeira da Silva,Diogo J.,6854,Diogo Jota,317,Liverpool,294,Liverpool
444884,Harvey Elliott,Elliott,7546,Harvey Elliott,319,Liverpool,295,Liverpool
116643,Fabio Henrique Tavares,Fabinho,3420,Fabinho,,,,
243298,Cody Gakpo,Gakpo,11296,Cody Gakpo,321,Liverpool,297,Liverpool
171287,Joe Gomez,Gomez,987,Joseph Gomez,322,Liverpool,298,Liverpool
56979,Jordan Henderson,Henderson,605,Jordan Henderson,,,,
206915,Curtis Jones,Jones,6665,Curtis Jones,324,Liverpool,300,Liverpool
200720,Caoimhin Kelleher,Kelleher,7904,Caoimhin Kelleher,325,Liverpool,301,Liverpool
204716,Ibrahima Konaté,Konaté,6326,Ibrahima Konaté,326,Liverpool,302,Liverpool
244731,Luis Díaz,Luis Díaz,10408,Luis Díaz,327,Liverpool,303,Liverpool
243016,Alexis Mac Allister,Mac Allister,8379,Alexis Mac Allister,329,Liverpool,304,Liverpool
60914,Joel Matip,Matip,332,Joel Matip,,,,
197464,Nathaniel Phillips,N.Phillips,8228,Nathaniel Phillips,332,Liverpool,306,Liverpool
122798,Andrew Robertson,Robertson,1688,Andrew Robertson,335,Liverpool,307,Liverpool
118748,Mohamed Salah,M.Salah,1250,Mohamed Salah,328,Liverpool,308,Liverpool
61558,Thiago Alcántara do Nascimento,Thiago,229,Thiago Alcántara,,,,
214285,Konstantinos Tsimikas,Tsimikas,8852,Konstantinos Tsimikas,337,Liverpool,311,Liverpool
444765,Sepp van den Berg,Van den Berg,10721,Sepp van den Berg,338,Liverpool,312,Liverpool
97032,Virgil van Dijk,Virgil,833,Virgil van Dijk,339,Liverpool,313,Liverpool
211975,Manuel Akanji,Akanji,6490,Manuel Akanji,340,Man City,341,Man City
126184,Nathan Aké,Aké,579,Nathan Aké,341,Man City,342,Man City
461358,Julián Álvarez,J.Alvarez,10846,Julián Álvarez,352,Man City,343,Man City
165809,Bernardo Veiga de Carvalho e Silva,Bernardo,3635,Bernardo Silva,342,Man City,344,Man City
121145,João Cavaco Cancelo,João Cancelo,2379,João Cancelo,353,Man City,346,Man City
17601,Scott Carson,Carson,8158,Scott Carson,344,Man City,347,Man City
463210,Shea Charles,Charles,11594,Shea Charles,458,Southampton,348,Man City
61366,Kevin De Bruyne,De Bruyne,447,Kevin De Bruyne,345,Man City,349,Man City
171314,Rúben Gato Alves Dias,Rúben,8961,Rúben Dias,361,Man City,350,Man City
121160,Ederson Santana de Moraes,Ederson M.,6054,Ederson,347,Man City,352,Man City
209244,Phil Foden,Foden,6055,Phil Foden,348,Man City,353,Man City
114283,Jack Grealish,Grealish,675,Jack Grealish,349,Man City,354,Man City
223094,Erling Haaland,Haaland,8260,Erling Haaland,351,Man City,355,Man City
91651,Mateo Kovačić,Kovačić,2254,Mateo Kovacic,354,Man City,356,Man City
146941,Aymeric Laporte,Laporte,2498,Aymeric Laporte,,,,
477064,Rico Lewis,Lewis,10847,Rico Lewis,355,Man City,358,Man City
